"","Financial.Year","Demographic.Derived.Household.Type.LCFS","Expenditure.Housing_mean_ratio","Expenditure.Housing_median_ratio","Expenditure.Utilities.MART_mean_ratio","Expenditure.Utilities.MART_median_ratio","Expenditure.Food.House.Keeping.MART_mean_ratio","Expenditure.Food.House.Keeping.MART_median_ratio","Demographic.Housing","Demographic.Role.Type","Demographic.Disabled","Demographic.UC","Demographic.ethnicity.HRP"
"94","2021-22",NA,0.254563720089907,0.20346702101572,0.0619583518312662,0.0566347548582499,0.167243156301925,0.135527904881289,NA,NA,NA,NA,"Black or Black British"
"95","2021-22",NA,0.311555479222194,0.265952022843194,0.0707118490676852,0.051408730193241,0.17545580364556,0.119684693585027,NA,NA,NA,NA,"Other ethnic group"
"96","2021-22",NA,0.215002305479234,0.129951532331222,0.0500312568554845,0.040159928562994,0.156451677640632,0.129574134841021,NA,NA,NA,NA,NA
"97","2022-23",NA,0.230311041714933,0.146017314739936,0.0785274644671528,0.0557226924880372,0.183733240599612,0.131166068049417,NA,NA,NA,NA,"White"
"98","2022-23",NA,0.66234353483143,0.290113164203889,0.154998186646778,0.0632875313504869,0.35181719724127,0.131114478682473,NA,NA,NA,NA,"Mixed race"
"99","2022-23",NA,0.327335656687351,0.259668465064368,0.0723055145532952,0.0515071649221343,0.176067346937077,0.116749573823934,NA,NA,NA,NA,"Asian or Asian British"
"100","2022-23",NA,0.265406977663216,0.206257631070297,0.0702766141950845,0.0623326599734524,0.16403781423348,0.139894738395585,NA,NA,NA,NA,"Black or Black British"
"101","2022-23",NA,0.319684383914334,0.277830150199274,0.0740625672128966,0.0553644476403365,0.179812188061817,0.11286687407594,NA,NA,NA,NA,"Other ethnic group"
"102","2022-23",NA,0.218842729451271,0.133420347377566,0.0667475704250525,0.0543348115035295,0.155922693783743,0.129373998706871,NA,NA,NA,NA,NA
"103","2023-24",NA,0.234511077594994,0.142256870244763,0.0782058901497137,0.0574517722295719,0.178271610865187,0.129161905524738,NA,NA,NA,NA,"White"
"104","2023-24",NA,0.660028770962095,0.3136512262857,0.158819950623413,0.0633250176973179,0.350986449277108,0.134620727520497,NA,NA,NA,NA,"Mixed race"
"105","2023-24",NA,0.339798412316738,0.251747989321675,0.0748497045671885,0.0499121034107841,0.169307003041004,0.113451931189423,NA,NA,NA,NA,"Asian or Asian British"
"106","2023-24",NA,0.26519057025219,0.195913135381946,0.0727565276794233,0.0605144409075579,0.165192699143939,0.140696029926398,NA,NA,NA,NA,"Black or Black British"
"107","2023-24",NA,0.320594323268587,0.268007173222567,0.0807789659482157,0.0575231574962822,0.170275774837524,0.132269368694765,NA,NA,NA,NA,"Other ethnic group"
"108","2023-24",NA,0.224523046166752,0.13033341520096,0.0675901759232778,0.0551237191233696,0.151868285182619,0.124040153234401,NA,NA,NA,NA,NA
